title,current_price,former_price,all_items_solds,brand_category,all_seller_info
Laptop HP Windows 11 CORE i5 GEN 6 - 12TH GEN 32GB RAM 1TB SSD WEBCAM WIFI,$20.00,£699.95,33+ sold,Brand New,"birmingham-av (11,761) 98.8%"
FAST CHEAP CORE i5 LAPTOP 1TB SSD 32GB RAM WARRANTY FREE WINDOWS 11 UPGRADE,$20.00,£649.95,29+ sold,Brand New,"birmingham-av (11,761) 98.8%"
Laptop Dell  Windows 11 CORE i5 GEN 6 - 12TH GEN 32GB RAM 1TB SSD WEBCAM WIFI,£159.99to£429.99,£699.95,132 sold,Good - Refurbished,"birmingham-av (11,761) 98.8%"
HP Elite X2 G4 Tablet i5-8365U 1.60GHz 8GB RAM 256 GB SSD Win11 Pro Grade A+,£129.99to£299.99,£279.99,83+ sold,Good - Refurbished,"mobstars (22,558) 98.9%"
FAST CHEAP CORE i5 LAPTOP 1TB SSD 32GB RAM WARRANTY WINDOWS 11 Pro,£159.99to£429.99,£449.99,33+ sold,Good - Refurbished,"blackhawk-gaming-uk (5,320) 100%"
"New listingHP 15-P234SA 15.6"" LAPTOP, INTEL CORE i5, 8GB, 1TB HDD, GEFORCE, WINDOWS 11",£174.99,£600.00,29+ sold,Excellent - Refurbished,"entertainment-clearout (1,638) 100%"
SUPER FAST WINDOWS 11 CHEAP LAPTOP INTEL CORE I5 4/8/16GB RAM 1TB HDD SSD WEBCAM,£89.95to£269.95,£149.99,176+ sold,Good - Refurbished,"gadgetsxpress7 (4,510) 99.5%"
"New listingHP Stream 14-ax000na 14” Laptop 32GB eMMC, Intel Celeron N3060 4GB Windows  10",£109.99,£59.99,62+ sold,Pre-owned,"fag690 (4,316) 100%"
Laptop HP Windows 11 CORE i5 GEN 6 - 12TH GEN 32GB RAM 1TB SSD WEBCAM WIFI,£99.99to£219.99,£399.95,50+ sold,Good - Refurbished,"birmingham-av (11,761) 98.8%"
FAST CHEAP CORE i5 LAPTOP 1TB SSD 32GB RAM WARRANTY FREE WINDOWS 11 UPGRADE,£30.00,£400.00,176+ sold,Pre-owned,"birmingham-av (11,761) 98.8%"
Lenovo ThinkPad T480 i5-8250U up to 64GB Ram up to 2TB SSD FHD Windows Laptop,£159.99,£229.00,31+ sold,Good - Refurbished,"newandusedlaptops4u (77,263) 99.6%"
CHEAP CORE i5 LAPTOP 1TB SSD 32GB RAM WARRANTY WINDOWS 11 Pro,£139.99,£257.99,"1,103 sold",Pre-owned,"blackhawk-gaming-uk (5,320) 100%"
CHEAP FAST Laptop DELL Quad Core 2.6GHZ Windows 10 SSD 4K HDMI WIFI WEBCAM,£224.99,£769.99,14+ sold,Pre-owned,"birmingham-av (11,761) 98.8%"
Dell Latitude Windows 11 5470/7470 Core i5-6200U 32GB Ram 1TB SSD,£89.95,£475.99,493 sold,Good - Refurbished,"venoscorp (19,926) 98.4%"
"FAST CHEAP LAPTOP i3 i5 i7 8GB 16GB RAM SSD 12.5""  14"" 15.6"" Win 10 or 11 WEBCAM",£89.99,£999.95,207 sold,Very Good - Refurbished,"resycit (6,543) 99.3%"
FAST CHEAP MAJOR BRAND INTEL CORE i5 UPTO 16GB RAM 480GB SSD WIFI WINDOWS LAPTOP,£234.00,"£1,299.95",118 sold,Good - Refurbished,"green-it-disposal (9,339) 98.5%"
Dell Latitude 3190 2in1 Quad Core - Windows 11 Pro Touchscreen Laptop - GRADE B,£104.99,£499.99,20 sold,Good - Refurbished,"ukcr-it-sales (4,431) 100%"
"Lenovo ThinkPad 10 Windows 11/10 Touchscreen Tablet 4GB Ram, 64GB  LTE SIM - FHD",£219.99,£366.99,23 sold,Very Good - Refurbished,"think_tech_it (1,266) 100%"
"UPGRADED 10"" Glossy Toshiba Windows 7 Netbook--Webcam +320GB HD + 2 GB RAM (Q1)",£79.95,£599.98,38+ sold,Pre-owned,"the-xp-experts (9,445) 99.3%"
Windows 10 Laptop HP Dell Lenovo Intel Core i3 i5 8GB 128GB SSD Warranty,£54.99to£59.99,£411.99,309 sold,Pre-owned,"recycly.tech (2,313) 98.3%"
Lenovo ThinkPad T480 i5-8250U up to 64GB Ram up to 2TB SSD FHD Windows Laptop,£54.99,£399.99,817 sold,Very Good - Refurbished,"newandusedlaptops4u (77,263) 99.6%"
CHEAP FAST Top Brand Windows 10/11 Laptop i3/i5 32GB Ram 256GB SSD/ 1TB SSD WIFI,£89.99,£599.95,113 sold,Pre-owned,"birmingham-av (11,761) 98.8%"
CHEAP CORE i5 LAPTOP 1TB SSD 32GB RAM WARRANTY WINDOWS 11 Pro,£219.99to£504.99,£89.95,108 sold,Very Good - Refurbished,"blackhawk-gaming-uk (5,320) 100%"
